"audit_id","timestamp","normativo_id","normativo_tipo","normativo_numero","normativo_ano","normativo_titulo","avaliacao_tipo","avaliacao_origem","classificacao_final","classificacao_anterior","racional_classificacao","reasoning_layer_aplicado","decision_map_aplicado","avaliacao_risco","racional_risco","pilares_risco_detalhado","resumo_logica","areas_responsaveis","feedback_id","feedback_tipo","feedback_autor","feedback_texto","correcao_aplicada","nova_logica_pos_correcao","politicas_impactadas","palavras_chave_matched","texto_integral_fonte","confianca_analise","confianca_score","sla_tempo_segundos","observacoes","github_commit_sha","slack_message_ts"
"audit_2026_06_11_739b2778","2026-06-11T16:01:56.451506-03:00","normativos_52922","Resolução BCB","573","2026","BC - Resolução BCB N° 573 de 10/06/2026","inicial","pipeline_bcb","MONITORAR","null","Normativo: Resolução BCB nº 573 (2026). Reasoning Layer aplicado: A Res. BCB nº 573 não é diretamente aplicável mas deve ser monitorada pois altera a resolução bcb nº 69, de 10 de fevereiro de 2021, que dispõe sobre a prestação de informações ao banco central do brasil relativas à apuração de limites e padrões regulamentares, para incluir  Temas a acompanhar: banco.. Racional base:","A Res. BCB nº 573 não é diretamente aplicável mas deve ser monitorada pois altera a resolução bcb nº 69, de 10 de fevereiro de 2021, que dispõe sobre a prestação de informações ao banco central do brasil relativas à apuração de limites e padrões regulamentares, para incluir  Temas a acompanhar: banco.","A Res. BCB nº 573 não é diretamente aplicável mas deve ser monitorada pois altera a resolução bcb nº 69, de 10 de fevereiro de 2021, que dispõe sobre a prestação de informações ao banco central do brasil relativas à apuração de limites e padrões regulamentares, para incluir  Temas a acompanhar: banco.","BAIXO","[Impacto Operacional] Score: BAIXO (1/4) | Justificativa: Impacto operacional não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto Regulatório] Score: MÉDIO (2/4) | Justificativa: Obrigações regulatórias identificadas: requerimento. | Evidências: requerimento
[Impacto Financeiro] Score: BAIXO (1/4) | Justificativa: Impacto financeiro não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto em Clientes] Score: BAIXO (1/4) | Justificativa: Impacto em clientes não identificado. | Evidências: nenhuma evidência direta

Score consolidado: BAIXO (média ponderada: 1.33/4.0, divisor 4.5)
Lógica: Score médio ponderado: 1.33/4.0 (divisor 4.5)
Fórmula: Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, dividido por 4.5. Se qualquer pilar=CRÍTICO → mínimo ALTO.","{""operacional"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto operacional não identificado ou mínimo."", ""evidencias"": []}, ""regulatorio"": {""score"": ""MÉDIO"", ""score_numerico"": 2, ""justificativa"": ""Obrigações regulatórias identificadas: requerimento."", ""evidencias"": [""requerimento""]}, ""financeiro"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto financeiro não identificado ou mínimo."", ""evidencias"": []}, ""clientes"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto em clientes não identificado."", ""evidencias"": []}, ""consolidado"": {""score"": ""BAIXO"", ""score_numerico"": 1.3333333333333333, ""justificativa"": ""Score médio ponderado: 1.33/4.0 (divisor 4.5)"", ""formula"": ""Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, divisor=4.5""}}","","[]","null","null","null","null","null","null","[]","[]","ementa","MÉDIA","0.5","0","","23fabff47ad0704b5629dcbe6e046e8cacc76efb","null"
"audit_2026_06_11_479e221d","2026-06-11T16:02:23.204786-03:00","normativos_52921","Instrução Normativa BCB","742","2026","BC - Instrução Normativa BCB N° 742 de 09/06/2026","inicial","pipeline_bcb","MONITORAR","null","Normativo: Instrução Normativa BCB nº 742 (2026). Reasoning Layer aplicado: A IN BCB nº 742 não é diretamente aplicável mas deve ser monitorada pois divulga a versão 8.3 do manual operacional do diretório de identificadores de contas transacionais (dict), que compõe o regulamento do pix. Temas a acompanhar: pix.. Racional base:","A IN BCB nº 742 não é diretamente aplicável mas deve ser monitorada pois divulga a versão 8.3 do manual operacional do diretório de identificadores de contas transacionais (dict), que compõe o regulamento do pix. Temas a acompanhar: pix.","A IN BCB nº 742 não é diretamente aplicável mas deve ser monitorada pois divulga a versão 8.3 do manual operacional do diretório de identificadores de contas transacionais (dict), que compõe o regulamento do pix. Temas a acompanhar: pix.","BAIXO","| Pilar | Nível | Motivo |
|---|---|---|
| ⚙️ Operacional | 3 | Possível necessidade de ajustes técnicos e operacionais nos sistemas que utilizam o DICT. |
| ⚖️ Regulatório | 2 | Atualização normativa com impacto direto no cumprimento do Regulamento do Pix. |
| 💰 Financeiro | 1 | Impacto financeiro baixo, limitado a custos de adequação. |
| 👥 Clientes | 2 | Potencial impacto na experiência do cliente caso ajustes não sejam implementados corretamente. |

--- Cálculo determinístico ---
[Impacto Operacional] Score: BAIXO (1/4) | Justificativa: Impacto operacional não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto Regulatório] Score: BAIXO (1/4) | Justificativa: Impacto regulatório não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto Financeiro] Score: BAIXO (1/4) | Justificativa: Impacto financeiro não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto em Clientes] Score: MÉDIO (2/4) | Justificativa: Impacto moderado em clientes (não especificado): sac. | Evidências: sac

Score consolidado: BAIXO (média ponderada: 1.22/4.0, divisor 4.5)
Lógica: Score médio ponderado: 1.22/4.0 (divisor 4.5)
Fórmula: Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, dividido por 4.5. Se qualquer pilar=CRÍTICO → mínimo ALTO.","{""operacional"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto operacional não identificado ou mínimo."", ""evidencias"": []}, ""regulatorio"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto regulatório não identificado ou mínimo."", ""evidencias"": []}, ""financeiro"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto financeiro não identificado ou mínimo."", ""evidencias"": []}, ""clientes"": {""score"": ""MÉDIO"", ""score_numerico"": 2, ""justificativa"": ""Impacto moderado em clientes (não especificado): sac."", ""evidencias"": [""sac""]}, ""consolidado"": {""score"": ""BAIXO"", ""score_numerico"": 1.2222222222222223, ""justificativa"": ""Score médio ponderado: 1.22/4.0 (divisor 4.5)"", ""formula"": ""Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, divisor=4.5""}}","","[""Produtos"", ""Fraudes/Risk (coordenação)""]","null","null","null","null","null","null","[]","[]","ementa","MÉDIA","0.5","0","","a02203819b1108b60d020923a21b6d5f499af3fc","null"
"audit_2026_06_11_739b0967","2026-06-11T16:02:50.011109-03:00","normativos_52920","Instrução Normativa BCB","741","2026","BC - Instrução Normativa BCB N° 741 de 03/06/2026","inicial","pipeline_bcb","MONITORAR","null","Normativo: Instrução Normativa BCB nº 741 (2026). Reasoning Layer aplicado: A IN BCB nº 741 não é diretamente aplicável mas deve ser monitorada pois altera as instruções normativas bcb ns. 428, 429 e 433, todas de 1º de dezembro de 2023, que definem rubricas contábeis do elenco de contas do padrão contábil das instituições reguladas pelo banco cen Temas a acompanhar: banco.. Racional base:","A IN BCB nº 741 não é diretamente aplicável mas deve ser monitorada pois altera as instruções normativas bcb ns. 428, 429 e 433, todas de 1º de dezembro de 2023, que definem rubricas contábeis do elenco de contas do padrão contábil das instituições reguladas pelo banco cen Temas a acompanhar: banco.","A IN BCB nº 741 não é diretamente aplicável mas deve ser monitorada pois altera as instruções normativas bcb ns. 428, 429 e 433, todas de 1º de dezembro de 2023, que definem rubricas contábeis do elenco de contas do padrão contábil das instituições reguladas pelo banco cen Temas a acompanhar: banco.","BAIXO","| Pilar | Nível | Motivo |
|---|---|---|
| ⚙️ Operacional | 3 | Alterações podem demandar ajustes em sistemas contábeis e processos internos. |
| ⚖️ Regulatório | 4 | Impacto direto em reportes regulatórios e conformidade com normas do BCB. |
| 💰 Financeiro | 2 | Possibilidade de custos associados a ajustes e reclassificações. |
| 👥 Clientes | 1 | Impacto indireto, sem efeito direto na experiência do cliente. |

--- Cálculo determinístico ---
[Impacto Operacional] Score: BAIXO (1/4) | Justificativa: Impacto operacional não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto Regulatório] Score: BAIXO (1/4) | Justificativa: Impacto regulatório não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto Financeiro] Score: BAIXO (1/4) | Justificativa: Impacto financeiro não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto em Clientes] Score: BAIXO (1/4) | Justificativa: Impacto em clientes não identificado. | Evidências: nenhuma evidência direta

Score consolidado: BAIXO (média ponderada: 1.00/4.0, divisor 4.5)
Lógica: Score médio ponderado: 1.00/4.0 (divisor 4.5)
Fórmula: Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, dividido por 4.5. Se qualquer pilar=CRÍTICO → mínimo ALTO.","{""operacional"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto operacional não identificado ou mínimo."", ""evidencias"": []}, ""regulatorio"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto regulatório não identificado ou mínimo."", ""evidencias"": []}, ""financeiro"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto financeiro não identificado ou mínimo."", ""evidencias"": []}, ""clientes"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto em clientes não identificado."", ""evidencias"": []}, ""consolidado"": {""score"": ""BAIXO"", ""score_numerico"": 1.0, ""justificativa"": ""Score médio ponderado: 1.00/4.0 (divisor 4.5)"", ""formula"": ""Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, divisor=4.5""}}","","[""Contabilidade / Financeiro"", ""ALCO / Tesouraria (gestão)"", ""Tesouraria/ALCO (gestão)"", ""Tesouraria/Crédito"", ""Tesouraria/ALCO"", ""Tesouraria/ALCO""]","null","null","null","null","null","null","[]","[]","ementa","MÉDIA","0.5","0","","b6db4d61efbd387eacc748d170813cb55ba1828c","null"
"audit_2026_06_11_34d88c4a","2026-06-11T16:05:16.294779-03:00","normativos_52923","Instrução Normativa BCB","743","2026","BC - Instrução Normativa BCB N° 743 de 11/06/2026","inicial","pipeline_bcb","MONITORAR","null","Normativo: Instrução Normativa BCB nº 743 (2026). Reasoning Layer aplicado: A IN BCB nº 743 não é diretamente aplicável mas deve ser monitorada pois altera a instrução normativa bcb nº 513, de 30 de agosto de 2024, que estabelece os procedimentos operacionais relativos ao pix automático, ao pix agendado e ao pix cobrança, para ajustar dispositivos Temas a acompanhar: pagamento, pix.. Racional base:","A IN BCB nº 743 não é diretamente aplicável mas deve ser monitorada pois altera a instrução normativa bcb nº 513, de 30 de agosto de 2024, que estabelece os procedimentos operacionais relativos ao pix automático, ao pix agendado e ao pix cobrança, para ajustar dispositivos Temas a acompanhar: pagamento, pix.","A IN BCB nº 743 não é diretamente aplicável mas deve ser monitorada pois altera a instrução normativa bcb nº 513, de 30 de agosto de 2024, que estabelece os procedimentos operacionais relativos ao pix automático, ao pix agendado e ao pix cobrança, para ajustar dispositivos Temas a acompanhar: pagamento, pix.","MÉDIO","| Pilar | Nível | Motivo |
|---|---|---|
| ⚙️ Operacional | 3 | Possível necessidade de ajustes nos sistemas e processos relacionados ao Pix Automático. |
| ⚖️ Regulatório | 4 | Alteração normativa diretamente aplicável ao produto Pix, com impacto em conformidade regulatória. |
| 💰 Financeiro | 2 | Potencial custo de adequação operacional e risco de penalidades em caso de não conformidade. |
| 👥 Clientes | 2 | Impacto limitado aos clientes que utilizam Pix Automático, caso haja falhas na implementação. |

--- Cálculo determinístico ---
[Impacto Operacional] Score: ALTO (3/4) | Justificativa: Impacto em processos operacionais: procedimento. | Evidências: procedimento
[Impacto Regulatório] Score: ALTO (3/4) | Justificativa: Obrigações regulatórias significativas: liquidação. | Evidências: liquidação
[Impacto Financeiro] Score: BAIXO (1/4) | Justificativa: Impacto financeiro não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto em Clientes] Score: BAIXO (1/4) | Justificativa: Impacto em clientes não identificado. | Evidências: nenhuma evidência direta

Score consolidado: MÉDIO (média ponderada: 2.11/4.0, divisor 4.5)
Lógica: Pilares ALTOS: Impacto Operacional, Impacto Regulatório. Score médio ponderado: 2.11/4.0 (divisor 4.5)
Fórmula: Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, dividido por 4.5. Se qualquer pilar=CRÍTICO → mínimo ALTO.","{""operacional"": {""score"": ""ALTO"", ""score_numerico"": 3, ""justificativa"": ""Impacto em processos operacionais: procedimento."", ""evidencias"": [""procedimento""]}, ""regulatorio"": {""score"": ""ALTO"", ""score_numerico"": 3, ""justificativa"": ""Obrigações regulatórias significativas: liquidação."", ""evidencias"": [""liquidação""]}, ""financeiro"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto financeiro não identificado ou mínimo."", ""evidencias"": []}, ""clientes"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto em clientes não identificado."", ""evidencias"": []}, ""consolidado"": {""score"": ""MÉDIO"", ""score_numerico"": 2.111111111111111, ""justificativa"": ""Pilares ALTOS: Impacto Operacional, Impacto Regulatório. Score médio ponderado: 2.11/4.0 (divisor 4.5)"", ""formula"": ""Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, divisor=4.5""}}","","[""Produtos"", ""Produtos"", ""Tecnologia / Produtos"", ""Fraudes/Risk (coordenação)"", ""Risco/Fraudes (avaliação)"", ""DPO (coordenação e conformidade LGPD)""]","null","null","null","null","null","null","[]","[]","ementa","MÉDIA","0.5","0","","177e91bfcd02b3fe76f4de874a9f7fbb09d4f994","null"
"audit_2026_06_11_c4b7a9e3","2026-06-11T23:03:27.634222","instru__o_normativa_bcb_n__740","Instrução Normativa BCB","740","2026","Instrução Normativa BCB n° 740","reanalise_feedback","incorporar_feedback","","","Feedback de U097JEJ4KLZ: Concordo com teu parecer giovanna.batistutti. Hoje ainda não temos transmissão/recepção em PRD, tampouco temos a obrigatoriedade por conta do nosso pe…","","","","","","","","slack_1780326835.339559_1781001231.942789","Corretivo — NÃO APLICÁVEL","U097JEJ4KLZ","Concordo com teu parecer giovanna.batistutti. Hoje ainda não temos transmissão/recepção em PRD, tampouco temos a obrigatoriedade por conta do nosso pe…","Classificação confirmada","Concordo com teu parecer giovanna.batistutti. Hoje ainda não temos transmissão/recepção em PRD, tampouco temos a obrigatoriedade por conta do nosso pe…","","","","alta","0.85","-1","Incorporado por incorporar_feedback.py em 2026-06-09","",""
"audit_2026_06_11_ae12c3f4","2026-06-11T23:03:27.634861","instru__o_normativa_bcb_n__740","Instrução Normativa BCB","740","2026","Instrução Normativa BCB n° 740","reanalise_feedback","incorporar_feedback","","","Feedback de U05R14K15CH: E isso, estamos em fase de construção da Fase 2 mas até a presente data sem obrigações. Monitorar.","","","","","","","","slack_1780326835.339559_1781035046.419369","Corretivo — MONITORAR","U05R14K15CH","E isso, estamos em fase de construção da Fase 2 mas até a presente data sem obrigações. Monitorar.","Classificação confirmada","E isso, estamos em fase de construção da Fase 2 mas até a presente data sem obrigações. Monitorar.","","","","alta","0.85","-1","Incorporado por incorporar_feedback.py em 2026-06-09","",""
"audit_2026_06_11_09d1c5ec","2026-06-11T21:01:12.205404-03:00","normativos_52924","Resolução CMN","5.308","2026","BC - Resolução CMN N° 5.308 de 11/06/2026","inicial","pipeline_bcb","MONITORAR","null","Normativo: Resolução CMN nº 5.308 (2026). Reasoning Layer aplicado: A Res. CMN nº 5.308 não é diretamente aplicável mas deve ser monitorada pois dispõe sobre os financiamentos ao amparo de recursos do fundo nacional de investimento em infraestrutura social – fiis para segurança pública. Temas a acompanhar: investimento.. Racional base:","A Res. CMN nº 5.308 não é diretamente aplicável mas deve ser monitorada pois dispõe sobre os financiamentos ao amparo de recursos do fundo nacional de investimento em infraestrutura social – fiis para segurança pública. Temas a acompanhar: investimento.","A Res. CMN nº 5.308 não é diretamente aplicável mas deve ser monitorada pois dispõe sobre os financiamentos ao amparo de recursos do fundo nacional de investimento em infraestrutura social – fiis para segurança pública. Temas a acompanhar: investimento.","BAIXO","[Impacto Operacional] Score: BAIXO (1/4) | Justificativa: Impacto operacional não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto Regulatório] Score: BAIXO (1/4) | Justificativa: Impacto regulatório não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto Financeiro] Score: BAIXO (1/4) | Justificativa: Impacto financeiro não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto em Clientes] Score: BAIXO (1/4) | Justificativa: Impacto em clientes não identificado. | Evidências: nenhuma evidência direta

Score consolidado: BAIXO (média ponderada: 1.00/4.0, divisor 4.5)
Lógica: Score médio ponderado: 1.00/4.0 (divisor 4.5)
Fórmula: Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, dividido por 4.5. Se qualquer pilar=CRÍTICO → mínimo ALTO.","{""operacional"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto operacional não identificado ou mínimo."", ""evidencias"": []}, ""regulatorio"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto regulatório não identificado ou mínimo."", ""evidencias"": []}, ""financeiro"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto financeiro não identificado ou mínimo."", ""evidencias"": []}, ""clientes"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto em clientes não identificado."", ""evidencias"": []}, ""consolidado"": {""score"": ""BAIXO"", ""score_numerico"": 1.0, ""justificativa"": ""Score médio ponderado: 1.00/4.0 (divisor 4.5)"", ""formula"": ""Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, divisor=4.5""}}","","[]","null","null","null","null","null","null","[]","[]","ementa","BAIXA","0.5","0","","00bf1c59dc2dd6a83c1aa2f143c3fb8474a03a64","null"
"audit_2026_06_12_02c191c1","2026-06-12T21:01:39.627409-03:00","normativos_52925","Instrução Normativa BCB","744","2026","BC - Instrução Normativa BCB N° 744 de 12/06/2026","inicial","pipeline_bcb","MONITORAR","null","Normativo: Instrução Normativa BCB nº 744 (2026). Reasoning Layer aplicado: A IN BCB nº 744 não é diretamente aplicável mas deve ser monitorada pois altera a instrução normativa bcb nº 33, de 29 de outubro de 2020, que estabelece os procedimentos para a remessa das informações de que trata a circular nº 3.979, de 30 de janeiro de 2020, e altera as Temas a acompanhar: risco.. Racional base:","A IN BCB nº 744 não é diretamente aplicável mas deve ser monitorada pois altera a instrução normativa bcb nº 33, de 29 de outubro de 2020, que estabelece os procedimentos para a remessa das informações de que trata a circular nº 3.979, de 30 de janeiro de 2020, e altera as Temas a acompanhar: risco.","A IN BCB nº 744 não é diretamente aplicável mas deve ser monitorada pois altera a instrução normativa bcb nº 33, de 29 de outubro de 2020, que estabelece os procedimentos para a remessa das informações de que trata a circular nº 3.979, de 30 de janeiro de 2020, e altera as Temas a acompanhar: risco.","BAIXO","| Pilar | Nível | Motivo |
|---|---|---|
| ⚙️ Operacional | 3 | Alterações no leiaute e instruções do DRO podem demandar ajustes em sistemas e processos internos. |
| ⚖️ Regulatório | 4 | Obrigação regulatória direta de reporte do DRO, com risco de penalidades em caso de não conformidade. |
| 💰 Financeiro | 2 | Custos moderados para adequação de sistemas e processos, mas sem impacto financeiro direto significativo. |
| 👥 Clientes | 1 | Sem impacto direto nos clientes. |

--- Cálculo determinístico ---
[Impacto Operacional] Score: MÉDIO (2/4) | Justificativa: Ajustes pontuais em procedimentos: procedimento. | Evidências: procedimento
[Impacto Regulatório] Score: BAIXO (1/4) | Justificativa: Impacto regulatório não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto Financeiro] Score: BAIXO (1/4) | Justificativa: Impacto financeiro não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto em Clientes] Score: BAIXO (1/4) | Justificativa: Impacto em clientes não identificado. | Evidências: nenhuma evidência direta

Score consolidado: BAIXO (média ponderada: 1.22/4.0, divisor 4.5)
Lógica: Score médio ponderado: 1.22/4.0 (divisor 4.5)
Fórmula: Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, dividido por 4.5. Se qualquer pilar=CRÍTICO → mínimo ALTO.","{""operacional"": {""score"": ""MÉDIO"", ""score_numerico"": 2, ""justificativa"": ""Ajustes pontuais em procedimentos: procedimento."", ""evidencias"": [""procedimento""]}, ""regulatorio"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto regulatório não identificado ou mínimo."", ""evidencias"": []}, ""financeiro"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto financeiro não identificado ou mínimo."", ""evidencias"": []}, ""clientes"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto em clientes não identificado."", ""evidencias"": []}, ""consolidado"": {""score"": ""BAIXO"", ""score_numerico"": 1.2222222222222223, ""justificativa"": ""Score médio ponderado: 1.22/4.0 (divisor 4.5)"", ""formula"": ""Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, divisor=4.5""}}","","[""Conselho de Administração (aprovação)"", ""Riscos (coordenação)"", ""Compliance/PLD (1ª e 2ª linhas)"", ""CISO/Segurança da Informação (coordenação)"", ""Gestão de Crise / Riscos (coordenação)""]","null","null","null","null","null","null","[]","[]","ementa","BAIXA","0.5","0","","a3f301b1bea57f7d1e3353d2d1f1e029b4fd142c","null"
"audit_2026_06_15_3d959bb6","2026-06-15T16:01:56.190887-03:00","normativos_52926","Instrução Normativa BCB","745","2026","BC - Instrução Normativa BCB N° 745 de 15/06/2026","inicial","pipeline_bcb","MONITORAR","null","Normativo: Instrução Normativa BCB nº 745 (2026). Reasoning Layer aplicado: A IN BCB nº 745 não é diretamente aplicável mas deve ser monitorada pois institui o plano setorial de prevenção e enfrentamento ao assédio moral, ao assédio sexual e a todas as formas de discriminação do banco central do brasil. Temas a acompanhar: banco.. Racional base:","A IN BCB nº 745 não é diretamente aplicável mas deve ser monitorada pois institui o plano setorial de prevenção e enfrentamento ao assédio moral, ao assédio sexual e a todas as formas de discriminação do banco central do brasil. Temas a acompanhar: banco.","A IN BCB nº 745 não é diretamente aplicável mas deve ser monitorada pois institui o plano setorial de prevenção e enfrentamento ao assédio moral, ao assédio sexual e a todas as formas de discriminação do banco central do brasil. Temas a acompanhar: banco.","BAIXO","[Impacto Operacional] Score: BAIXO (1/4) | Justificativa: Impacto operacional não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto Regulatório] Score: BAIXO (1/4) | Justificativa: Impacto regulatório não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto Financeiro] Score: BAIXO (1/4) | Justificativa: Impacto financeiro não identificado ou mínimo. | Evidências: nenhuma evidência direta
[Impacto em Clientes] Score: BAIXO (1/4) | Justificativa: Impacto em clientes não identificado. | Evidências: nenhuma evidência direta

Score consolidado: BAIXO (média ponderada: 1.00/4.0, divisor 4.5)
Lógica: Score médio ponderado: 1.00/4.0 (divisor 4.5)
Fórmula: Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, dividido por 4.5. Se qualquer pilar=CRÍTICO → mínimo ALTO.","{""operacional"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto operacional não identificado ou mínimo."", ""evidencias"": []}, ""regulatorio"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto regulatório não identificado ou mínimo."", ""evidencias"": []}, ""financeiro"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto financeiro não identificado ou mínimo."", ""evidencias"": []}, ""clientes"": {""score"": ""BAIXO"", ""score_numerico"": 1, ""justificativa"": ""Impacto em clientes não identificado."", ""evidencias"": []}, ""consolidado"": {""score"": ""BAIXO"", ""score_numerico"": 1.0, ""justificativa"": ""Score médio ponderado: 1.00/4.0 (divisor 4.5)"", ""formula"": ""Operacional×1.0 + Regulatório×1.5 + Financeiro×1.0 + Clientes×1.0, divisor=4.5""}}","","[]","null","null","null","null","null","null","[]","[]","ementa","MÉDIA","0.5","0","","4fd8e52bb3f1b89bf216ead6c0febd26a341d112","null"
"audit_2026_06_16_62135b21","2026-06-16T19:00:33.175731","in_bcb_745_de_15_06_2026_monitorar","Instrução Normativa BCB","","2026","Geral","reanalise_feedback","incorporar_feedback","","","Feedback de unknown: IN BCB 745 de 15/06/2026 MONITORAR","","","","","","","","slack_1781550116.095279_1781550116.095279","Corretivo — MONITORAR","unknown","IN BCB 745 de 15/06/2026 MONITORAR","Classificação confirmada","IN BCB 745 de 15/06/2026 MONITORAR","","","","alta","0.85","-1","Incorporado por incorporar_feedback.py em 2026-06-15","",""
